scale_factor;engine;query;cache_mode;run_index;elapsed_ms;record_count
SF3;fuseki;Q03;cold;18;6952,151;10
SF3;fuseki;Q03;cold;19;6965,723;10
SF3;fuseki;Q03;cold;20;6899,331;10
SF3;fuseki;Q03;cold;21;6892,472;10
SF3;fuseki;Q03;cold;22;6837,743;10
SF3;fuseki;Q03;cold;23;6993,645;10
SF3;fuseki;Q03;cold;24;6887,451;10
SF3;fuseki;Q03;cold;25;6846,352;10
SF3;fuseki;Q03;cold;26;7095,290;10
SF3;fuseki;Q03;cold;27;6928,240;10
SF3;fuseki;Q03;cold;28;6908,144;10
SF3;fuseki;Q03;cold;29;7083,652;10
SF3;fuseki;Q03;cold;30;6842,864;10
SF3;neo4j;Q03;cold;1;32667,371;10
SF3;neo4j;Q03;cold;2;26193,974;10
SF3;neo4j;Q03;cold;3;24593,531;10
SF3;neo4j;Q03;cold;4;24182,319;10
SF3;neo4j;Q03;cold;5;25743,166;10
SF3;neo4j;Q03;cold;6;26322,729;10
SF3;neo4j;Q03;cold;7;26738,929;10
SF3;neo4j;Q03;cold;8;29725,179;10
SF3;neo4j;Q03;cold;9;25978,689;10
SF3;neo4j;Q03;cold;10;26027,410;10
SF3;neo4j;Q03;cold;11;26337,289;10
SF3;neo4j;Q03;cold;12;26006,138;10
SF3;neo4j;Q03;cold;13;25964,024;10
SF3;neo4j;Q03;cold;14;26041,107;10
SF3;neo4j;Q03;cold;15;26213,197;10
SF3;neo4j;Q03;cold;16;28032,160;10
SF3;neo4j;Q03;cold;17;25959,489;10
SF3;neo4j;Q03;cold;18;26353,978;10
SF3;neo4j;Q03;cold;19;25954,075;10
SF3;neo4j;Q03;cold;20;26096,248;10
SF3;neo4j;Q03;cold;21;26185,588;10
SF3;neo4j;Q03;cold;22;26282,488;10
SF3;neo4j;Q03;cold;23;26101,412;10
SF3;neo4j;Q03;cold;24;26277,686;10
SF3;neo4j;Q03;cold;25;27564,048;10
SF3;neo4j;Q03;cold;26;33616,765;10
SF3;neo4j;Q03;cold;27;31681,795;10
SF3;neo4j;Q03;cold;28;32993,322;10
SF3;neo4j;Q03;cold;29;29973,362;10
SF3;neo4j;Q03;cold;30;30043,513;10
SF3;gql;Q03;cold;1;30378,135;10
SF3;gql;Q03;cold;2;28381,415;10
SF3;gql;Q03;cold;3;29704,397;10
SF3;gql;Q03;cold;4;25866,658;10
SF3;gql;Q03;cold;5;27618,972;10
SF3;gql;Q03;cold;6;27937,812;10
SF3;gql;Q03;cold;7;29403,156;10
SF3;gql;Q03;cold;8;28059,983;10
SF3;gql;Q03;cold;9;28778,264;10
SF3;gql;Q03;cold;10;28299,168;10
SF3;gql;Q03;cold;11;29340,163;10
SF3;gql;Q03;cold;12;28104,278;10
SF3;gql;Q03;cold;13;28232,427;10
SF3;gql;Q03;cold;14;25944,422;10
SF3;gql;Q03;cold;15;27254,125;10
SF3;gql;Q03;cold;16;27459,814;10
SF3;gql;Q03;cold;17;27494,017;10
SF3;gql;Q03;cold;18;27239,757;10
SF3;gql;Q03;cold;19;27911,268;10
SF3;gql;Q03;cold;20;27620,647;10
SF3;gql;Q03;cold;21;30901,948;10
SF3;gql;Q03;cold;22;28900,578;10
SF3;gql;Q03;cold;23;28282,821;10
SF3;gql;Q03;cold;24;29918,875;10
SF3;gql;Q03;cold;25;27162,304;10
SF3;gql;Q03;cold;26;28226,789;10
SF3;gql;Q03;cold;27;29026,862;10
SF3;gql;Q03;cold;28;28174,116;10
SF3;gql;Q03;cold;29;28060,214;10
SF3;gql;Q03;cold;30;28349,786;10
SF3;fuseki;Q04;cold;1;1471,962;10
SF3;fuseki;Q04;cold;2;1412,626;10
SF3;fuseki;Q04;cold;3;1454,150;10
SF3;fuseki;Q04;cold;4;1478,688;10
SF3;fuseki;Q04;cold;5;1411,281;10
SF3;fuseki;Q04;cold;6;1436,587;10
SF3;fuseki;Q04;cold;7;1402,722;10
SF3;fuseki;Q04;cold;8;1385,388;10
SF3;fuseki;Q04;cold;9;1377,900;10
SF3;fuseki;Q04;cold;10;1445,706;10
SF3;fuseki;Q04;cold;11;1515,729;10
SF3;fuseki;Q04;cold;12;1455,813;10
